continent,population
Asia,22720000
Asia,2441000
Asia,3520000
Asia,7734000
Asia,129155000
Asia,617000
Asia,328000
Asia,2124000
Asia,1277558000
Asia,754700
Asia,4968000
Asia,6782000
Asia,212107000
Asia,1013662000
Asia,67702000
Asia,23115000
Asia,6217000
Asia,5083000
Asia,126714000
Asia,16223000
Asia,4699000
Asia,11168000
Asia,46844000
Asia,1972000
Asia,5433000
Asia,3282000
Asia,18827000
Asia,473000
Asia,286000
Asia,45611000
Asia,2662000
Asia,22244000
Asia,23930000
Asia,2542000
Asia,156483000
Asia,75967000
Asia,24039000
Asia,3101000
Asia,599000
Asia,21607000
Asia,3567000
Asia,16125000
Asia,61399000
Asia,6188000
Asia,4459000
Asia,885000
Asia,66591000
Asia,22256000
Asia,24318000
Asia,79832000
Asia,18112000
North America,103000
North America,8000
North America,217000
North America,68000
North America,307000
North America,241000
North America,65000
North America,270000
North America,31147000
North America,4023000
North America,11201000
North America,38000
North America,71000
North America,8495000
North America,456000
North America,94000
North America,56000
North America,11385000
North America,6485000
North America,8222000
North America,2583000
North America,38000
North America,154000
North America,98881000
North America,11000
North America,395000
North America,5074000
North America,2856000
North America,3869000
North America,6276000
North America,7000
North America,17000
North America,1295000
North America,278357000
North America,114000
North America,21000
North America,93000
